Rank,Count,n,Percent
117,11724,807139,0.014525379147829556
118,8692,807139,0.010768901019526995
119,10954,807139,0.01357139228806934
120,10008,807139,0.012399351288935363
121,4639,807139,0.005747461094061866
122,6295,807139,0.007799152314533184
123,9956,807139,0.012334926202302206
124,8195,807139,0.010153145864590858
125,9264,807139,0.011477576972491728
126,3187,807139,0.0039485144442283175
127,5146,807139,0.00637560568873515
128,7859,807139,0.009736860689422764
129,5544,807139,0.006868705390273546
130,6173,807139,0.0076480011497400075
131,6133,807139,0.007598443390791425
132,2034,807139,0.0025200120425354247
133,2188,807139,0.0027108094144874676
134,8834,807139,0.010944831063794465
135,5840,807139,0.007235432806493057
136,5031,807139,0.006233127131757975
137,1366,807139,0.0016923974680940954
138,2943,807139,0.0036462121146419637
139,7775,807139,0.009632789395630741
140,4405,807139,0.005457548204212658
141,6366,807139,0.007887117336666919
142,5340,807139,0.006615960819635776
143,3281,807139,0.004064975177757487
144,6864,807139,0.008504111435576773
145,5952,807139,0.007374194531549089
146,8888,807139,0.01101173403837505
147,3434,807139,0.004254533605735815
148,5279,807139,0.006540385237239187
149,844,807139,0.0010456687138150926
150,2247,807139,0.0027839071089366266
151,2935,807139,0.0036363005628522473
152,6975,807139,0.008641634216659089
153,5555,807139,0.006882333773984407
154,4565,807139,0.005655779240006988
155,79,807139,9.78765739234506e-05
156,3617,807139,0.00448126035292558
157,6491,807139,0.008041985333381239
158,2371,807139,0.002937536161677233
159,6473,807139,0.008019684341854377
160,2204,807139,0.0027306325180669003
161,5750,807139,0.007123927848858747
162,2068,807139,0.0025621361376417197
163,4492,807139,0.005565336329925824
164,3113,807139,0.0038568325901734398
165,1675,807139,0.002075231155971896
166,1893,807139,0.002345320942241671
167,3364,807139,0.0041678075275757955
168,4851,807139,0.006010117216489353
169,2271,807139,0.002813641764305776
170,1628,807139,0.002017000789207311
171,1353,807139,0.0016762911964358059
172,1675,807139,0.002075231155971896
173,24,807139,2.973465536914955e-05
174,3573,807139,0.00442674681808214
175,1596,807139,0.001977354582048445
176,5223,807139,0.006471004374711171
177,1573,807139,0.0019488588706530101
178,2989,807139,0.003703203537432834
179,985,807139,0.0012203598141088462
180,2646,807139,0.0032782457544487382
181,4606,807139,0.005706575942929285
182,678,807139,0.0008400040141784748
183,7980,807139,0.009886772910242226
184,5826,807139,0.007218087590861053
185,4001,807139,0.0049570148388319735
186,2032,807139,0.0025175341545879953
187,2163,807139,0.0026798358151446035
188,3439,807139,0.004260728325604388
189,1954,807139,0.002420896524638259
190,1078,807139,0.0013355816036643008
191,1502,807139,0.001860893848519276
192,315,807139,0.00039026735172008786
193,2391,807139,0.002962315041151524
194,2503,807139,0.0031010767662075552
195,3658,807139,0.0045320570558478775
196,3416,807139,0.004232232614208953
197,1869,807139,0.0023155862868725215
198,3251,807139,0.0040278068585460495
199,1219,807139,0.0015102727039580544
200,3512,807139,0.004351171235685551
201,851,807139,0.0010543413216310945
202,2688,807139,0.0033302814013447496
203,1437,807139,0.0017803624902278294
204,3917,807139,0.00485294354503995
205,2203,807139,0.002729393574093186
206,1139,807139,0.001411157186060889
207,1448,807139,0.0017939908739386897
208,957,807139,0.0011856693828448384
209,500,807139,0.0006194719868572823
210,839,807139,0.0010394739939465197
211,793,807139,0.0009824825711556497
212,2756,807139,0.0034145295915573404
213,1058,807139,0.0013108027241900094
214,850,807139,0.00105310237765738
215,2081,807139,0.002578242409300009
216,484,807139,0.0005996488832778493
217,369,807139,0.0004571703263006744
218,20,807139,2.4778879474291295e-05
219,157,807139,0.00019451420387318666
220,687,807139,0.0008511545099419059
221,2494,807139,0.0030899262704441243
222,941,807139,0.0011658462792654054
223,1890,807139,0.002341604110320527
224,406,807139,0.0005030112533281133
225,1468,807139,0.001818769753412981
226,2062,807139,0.0025547024737994323
227,2300,807139,0.0028495711395434987
